2008;Bangkok;Hard;Simone Bolelli;Thomaz Bellucci;ITA;BRA;6-3 6-3;R32;
2008;Bangkok;Hard;Nicolas Mahut;Danai Udomchoke;FRA;THA;6-2 6-7(5) 6-2;R32;
2008;Bangkok;Hard;Jarkko Nieminen;Marko Djokovic;FIN;SRB;6-2 6-0;R32;
2008;Bangkok;Hard;Philipp Petzschner;Marat Safin;GER;RUS;6-4 7-6(4);R32;
2008;Bangkok;Hard;Mischa Zverev;Robert Smeets;GER;AUS;6-4 6-4;R32;
2008;Bangkok;Hard;Robert Kendrick;George Bastl;USA;SUI;6-3 7-6(4);R32;
2008;Bangkok;Hard;Jurgen Melzer;Donald Young;AUT;USA;6-3 6-3;R32;
2008;Bangkok;Hard;Viktor Troicki;Fabrice Santoro;SRB;FRA;7-6(4) 6-2;R32;
2008;Bangkok;Hard;Lukas Dlouhy;Benjamin Becker;CZE;GER;6-4 7-6(4);R32;
2008;Bangkok;Hard;Novak Djokovic;Simon Stadler;SRB;GER;6-1 6-3;R16;
2008;Bangkok;Hard;Robin Soderling;Teymuraz Gabashvili;SWE;RUS;6-1 6-3;R16;
2008;Bangkok;Hard;Tomas Berdych;Simone Bolelli;CZE;ITA;7-5 6-1;R16;
2008;Bangkok;Hard;Nicolas Mahut;Jarkko Nieminen;FRA;FIN;6-4 3-6 6-3;R16;
2008;Bangkok;Hard;Philipp Petzschner;Mischa Zverev;GER;GER;7-6(3) 3-6 6-1;R16;
2008;Bangkok;Hard;Gael Monfils;Robert Kendrick;FRA;USA;6-4 7-6(4);R16;
2008;Bangkok;Hard;Jurgen Melzer;Viktor Troicki;AUT;SRB;6-4 7-6(4);R16;
2008;Bangkok;Hard;Jo-Wilfried Tsonga;Lukas Dlouhy;FRA;CZE;7-6(9) 3-6 7-6(1);R16;
2008;Bangkok;Hard;Novak Djokovic;Robin Soderling;SRB;SWE;6-4 7-5;QF;
2008;Bangkok;Hard;Tomas Berdych;Nicolas Mahut;CZE;FRA;7-6(6) 6-3;QF;
2008;Bangkok;Hard;Gael Monfils;Philipp Petzschner;FRA;GER;7-6(6) 6-4;QF;
2008;Bangkok;Hard;Jo-Wilfried Tsonga;Jurgen Melzer;FRA;AUT;6-3 6-2;QF;
2008;Bangkok;Hard;Novak Djokovic;Tomas Berdych;SRB;CZE;7-5 6-1;SF;
2008;Bangkok;Hard;Jo-Wilfried Tsonga;Gael Monfils;FRA;FRA;6-0 6-3;SF;
2008;Bangkok;Hard;Jo-Wilfried Tsonga;Novak Djokovic;FRA;SRB;7-6(4) 6-4;F;
2008;Zagreb;Hard;Ivan Ljubicic;Ernests Gulbis;CRO;LAT;6-3 7-6(7);R32;
2008;Zagreb;Hard;Lovro Zovko;Marc Gicquel;CRO;FRA;6-3 7-5;R32;
2008;Zagreb;Hard;Teymuraz Gabashvili;Florian Mayer;RUS;GER;7-6(6) 6-0;R32;
2008;Zagreb;Hard;Rik De Voest;Andreas Seppi;RSA;ITA;6-4 7-6(3);R32;
2008;Zagreb;Hard;Gilles Simon;Pavol Cervenak;FRA;SVK;7-6(2) 6-1;R32;
2008;Zagreb;Hard;Robin Haase;Michael Berrer;NED;GER;6-4 6-3;R32;
2008;Zagreb;Hard;Denis Gremelmayr;Sebastien De Chaunac;GER;FRA;6-7(2) 6-1 6-4;R32;
2008;Zagreb;Hard;Mario Ancic;Nicolas Mahut;CRO;FRA;7-6(3) 7-6(6);R32;
2008;Zagreb;Hard;Marin Cilic;Guillermo Garcia Lopez;CRO;ESP;6-2 6-2;R32;
2008;Zagreb;Hard;Simone Bolelli;Rainer Schuettler;ITA;GER;6-3 6-2;R32;
2008;Zagreb;Hard;Stefan Koubek;Franko Skugor;AUT;CRO;2-6 7-6(2) 6-0;R32;
2008;Zagreb;Hard;Olivier Rochus;Fabrice Santoro;BEL;FRA;6-3 2-0 RET;R32;
2008;Zagreb;Hard;Janko Tipsarevic;Mischa Zverev;SRB;GER;6-3 6-1;R32;
2008;Zagreb;Hard;Roko Karanusic;Blaz Kavcic;CRO;SLO;6-7(9) 6-4 6-4;R32;
2008;Zagreb;Hard;Viktor Troicki;George Bastl;SRB;SUI;6-3 7-6(3);R32;
2008;Zagreb;Hard;Sergiy Stakhovsky;Ivo Karlovic;UKR;CRO;4-6 7-6(5) 6-2;R32;
2008;Zagreb;Hard;Ivan Ljubicic;Lovro Zovko;CRO;CRO;6-4 7-6(3);R16;
2008;Zagreb;Hard;Teymuraz Gabashvili;Rik De Voest;RUS;RSA;7-5 6-1;R16;
2008;Zagreb;Hard;Robin Haase;Gilles Simon;NED;FRA;6-2 6-4;R16;
2008;Zagreb;Hard;Mario Ancic;Denis Gremelmayr;CRO;GER;6-3 6-2;R16;
2008;Zagreb;Hard;Simone Bolelli;Marin Cilic;ITA;CRO;6-4 6-3;R16;
2008;Zagreb;Hard;Olivier Rochus;Stefan Koubek;BEL;AUT;6-2 6-4;R16;
2008;Zagreb;Hard;Janko Tipsarevic;Roko Karanusic;SRB;CRO;6-3 6-7(4) 6-4;R16;
2008;Zagreb;Hard;Sergiy Stakhovsky;Viktor Troicki;UKR;SRB;7-6(7) 3-6 6-4;R16;
2008;Zagreb;Hard;Ivan Ljubicic;Teymuraz Gabashvili;CRO;RUS;6-2 6-7(5) 6-3;QF;
2008;Zagreb;Hard;Mario Ancic;Robin Haase;CRO;NED;6-3 3-6 6-3;QF;
2008;Zagreb;Hard;Simone Bolelli;Olivier Rochus;ITA;BEL;7-6(5) 6-4;QF;
2008;Zagreb;Hard;Sergiy Stakhovsky;Janko Tipsarevic;UKR;SRB;3-6 6-4 6-2;QF;
2008;Zagreb;Hard;Ivan Ljubicic;Mario Ancic;CRO;CRO;7-6(2) 6-4;SF;
2008;Zagreb;Hard;Sergiy Stakhovsky;Simone Bolelli;UKR;ITA;6-4 6-4;SF;
2008;Zagreb;Hard;Sergiy Stakhovsky;Ivan Ljubicic;UKR;CRO;7-5 6-4;F;
2008;Auckland;Hard;David Ferrer;Oscar Hernandez;ESP;ESP;6-1 6-2;R32;
2008;Auckland;Hard;Sergio Roitman;Lukas Rosol;ARG;CZE;6-2 7-5;R32;
2008;Auckland;Hard;Julien Benneteau;Dudi Sela;FRA;ISR;6-4 7-6(3);R32;
2008;Auckland;Hard;Nicolas Almagro;Jose Acasuso;ESP;ARG;6-3 6-4;R32;
2008;Auckland;Hard;Juan Carlos Ferrero;Jesse Levine;ESP;CAN;6-4 6-1;R32;
2008;Auckland;Hard;Jurgen Melzer;Werner Eschauer;AUT;AUT;6-4 1-6 6-3;R32;
2008;Auckland;Hard;Nicolas Massu;G D Jones;CHI;NZL;6-4 6-2;R32;
2008;Auckland;Hard;Xavier Malisse;Jarkko Nieminen;BEL;FIN;7-6(3) 6-3;R32;
2008;Auckland;Hard;Albert Montanes;Jose Rubin Statham;ESP;NZL;6-4 6-4;R32;
2008;Auckland;Hard;Michael Llodra;Hyung Taik Lee;FRA;KOR;6-1 6-4;R32;
2008;Auckland;Hard;Olivier Rochus;Michael Berrer;BEL;GER;6-7(8) 6-2 6-4;R32;
2008;Auckland;Hard;Juan Monaco;Thomas Johansson;ARG;SWE;6-3 6-4;R32;
