1973;London;Carpet;Ilie Nastase;Jean Baptiste Chanfreau;ROU;FRA;6-3 6-4;R32;A
1973;London;Carpet;Robert Kreiss;Frew Mcmillan;USA;RSA;6-2 6-4;R32;A
1973;London;Carpet;Onny Parun;Buster C Mottram;NZL;GBR;7-5 6-3;R32;A
1973;London;Carpet;Raymond Moore;Owen Davidson;RSA;AUS;6-4 3-6 6-1;R32;A
1973;London;Carpet;Jimmy Connors;Roger Taylor;USA;GBR;6-2 6-3;R32;A
1973;London;Carpet;Gerald Battrick;John Feaver;GBR;GBR;6-7 6-2 6-4;R32;A
1973;London;Carpet;Nikola Pilic;John Paish;CRO;GBR;6-3 1-6 6-2;R32;A
1973;London;Carpet;Patrick Proisy;John Lloyd;FRA;GBR;6-1 3-6 6-0;R32;A
1973;London;Carpet;Jeff Borowiak;Stephen Warboys;USA;GBR;6-1 4-6 6-3;R32;A
1973;London;Carpet;Tom Gorman;Graham Stilwell;USA;GBR;6-4 6-3;R32;A
1973;London;Carpet;Mark Cox;Hans Jurgen Pohmann;GBR;GER;6-3 6-3;R32;A
1973;London;Carpet;Bjorn Borg;Manuel Orantes;SWE;ESP;6-3 6-2;R32;A
1973;London;Carpet;Ion Tiriac;Bob Carmichael;ROU;AUS;6-3 6-2;R32;A
1973;London;Carpet;Arthur Ashe;Patrice Dominguez;USA;FRA;6-2 6-2;R32;A
1973;London;Carpet;Grover Raz Reid;Haroon Rahim;USA;PAK;6-7 6-3 6-2;R32;A
1973;London;Carpet;Tom Okker;Barry Phillips Moore;NED;AUS;3-6 6-2 6-4;R32;A
1973;London;Carpet;Ilie Nastase;Robert Kreiss;ROU;USA;6-1 6-1;R16;A
1973;London;Carpet;Raymond Moore;Onny Parun;RSA;NZL;4-6 6-4 6-2;R16;A
1973;London;Carpet;Jimmy Connors;Gerald Battrick;USA;GBR;6-1 6-3;R16;A
1973;London;Carpet;Patrick Proisy;Nikola Pilic;FRA;CRO;6-4 7-5;R16;A
1973;London;Carpet;Tom Gorman;Jeff Borowiak;USA;USA;6-4 6-4;R16;A
1973;London;Carpet;Mark Cox;Bjorn Borg;GBR;SWE;6-3 6-1;R16;A
1973;London;Carpet;Ion Tiriac;Arthur Ashe;ROU;USA;3-6 6-2 6-3;R16;A
1973;London;Carpet;Tom Okker;Grover Raz Reid;NED;USA;6-3 6-4;R16;A
1973;London;Carpet;Ilie Nastase;Raymond Moore;ROU;RSA;6-3 6-4;QF;A
1973;London;Carpet;Jimmy Connors;Patrick Proisy;USA;FRA;6-2 6-3;QF;A
1973;London;Carpet;Mark Cox;Tom Gorman;GBR;USA;6-3 1-6 6-2;QF;A
1973;London;Carpet;Tom Okker;Ion Tiriac;NED;ROU;7-6 6-4;QF;A
1973;London;Carpet;Ilie Nastase;Jimmy Connors;ROU;USA;7-6 5-7 7-6;SF;A
1973;London;Carpet;Tom Okker;Mark Cox;NED;GBR;6-0 7-6;SF;A
1973;London;Carpet;Tom Okker;Ilie Nastase;NED;ROU;6-3 6-4;F;A
1973;London;Carpet;Jimmy Connors;Mark Cox;USA;GBR;6-3 6-3;BR;A
1973;Roanoke;Hard;Jimmy Connors;Jaime Pinto Bravo;USA;CHI;7-5 6-2;QF;A
1973;Roanoke;Hard;Tito Vazquez;Butch Seewagen;ARG;USA;4-6 6-1 6-0;QF;A
1973;Roanoke;Hard;Ian Fletcher;Ian Crookenden;AUS;NZL;7-5 3-6 7-6;QF;A
1973;Roanoke;Hard;John Paish;Juan Gisbert;GBR;ESP;6-4 6-4;QF;A
1973;Roanoke;Hard;Jimmy Connors;Tito Vazquez;USA;ARG;6-4 6-3;SF;A
1973;Roanoke;Hard;Ian Fletcher;John Paish;AUS;GBR;6-3 6-7 6-0;SF;A
1973;Roanoke;Hard;Jimmy Connors;Ian Fletcher;USA;AUS;6-2 6-3;F;A
1973;Madrid;Clay;Juan Herrera;Jean Louis Haillet;ESP;FRA;6-2 6-4;R64;A
1973;Madrid;Clay;Marcello Lara;Thierry Quintin;MEX;ARG;7-6 6-1;R64;A
1973;Madrid;Clay;John Bartlett;Pietro Marzano;AUS;ITA;7-5 6-2;R64;A
1973;Madrid;Clay;Ivan Molina;Jose Guerrero;COL;ESP;6-3 6-3;R64;A
1973;Madrid;Clay;Nicola Spear;Richard Russell;SRB;JAM;6-3 6-1;R64;A
1973;Madrid;Clay;Patrice Dominguez;Jasjit Singh;FRA;IND;5-7 7-5 6-3;R64;A
1973;Madrid;Clay;Paul Gerken;Vincenzo Franchitti;USA;ITA;6-0 6-0;R64;A
1973;Madrid;Clay;Kim Warwick;E Chavez;AUS;;6-4 4-6 6-3;R64;A
1973;Madrid;Clay;Antonio Zugarelli;Birger Andersson;ITA;SWE;6-3 6-4;R64;A
1973;Madrid;Clay;Patricio Rodriguez Chi;U McDonald;CHI;;6-2 6-4;R64;A
1973;Madrid;Clay;Tito Vazquez;Robert Reininger;ARG;AUT;6-2 6-4;R64;A
1973;Madrid;Clay;Jairo Velasco;Juan Ignacio Muntanola;ESP;ESP;6-2 6-0;R64;A
1973;Madrid;Clay;Juan Manuel Couder;Mike Estep;ESP;USA;6-4 2-6 6-5 RET;R64;A
1973;Madrid;Clay;Jacques Thamin;Steve Faulk;FRA;USA;6-2 4-6 9-7;R64;A
