2003;Madrid Masters;Hard;Wayne Ferreira;Ivan Ljubicic;RSA;CRO;7-6(7) 7-6(5);R64;M
2003;Madrid Masters;Hard;Thomas Enqvist;Yevgeny Kafelnikov;SWE;RUS;6-3 RET;R64;M
2003;Madrid Masters;Hard;Jan Michael Gambill;Nikolay Davydenko;USA;RUS;6-3 6-3;R64;M
2003;Madrid Masters;Hard;Albert Costa;Fernando Gonzalez;ESP;CHI;6-3 7-6(3);R64;M
2003;Madrid Masters;Hard;Alex Corretja;Rafael Nadal;ESP;ESP;6-2 3-6 6-4;R64;M
2003;Madrid Masters;Hard;Mardy Fish;Tim Henman;USA;GBR;7-6(4) 6-3;R64;M
2003;Madrid Masters;Hard;Feliciano Lopez;Mariano Zabaleta;ESP;ARG;6-2 3-6 6-3;R64;M
2003;Madrid Masters;Hard;Gaston Gaudio;Jarkko Nieminen;ARG;FIN;3-6 7-5 6-2;R64;M
2003;Madrid Masters;Hard;David Ferrer;Mikhail Youzhny;ESP;RUS;1-6 6-4 6-4;R64;M
2003;Madrid Masters;Hard;Vincent Spadea;Christophe Rochus;USA;BEL;6-4 7-5;R64;M
2003;Madrid Masters;Hard;Jonas Bjorkman;Marat Safin;SWE;RUS;4-6 7-5 6-4;R64;M
2003;Madrid Masters;Hard;Robby Ginepri;Olivier Rochus;USA;BEL;6-3 6-3;R64;M
2003;Madrid Masters;Hard;Karol Kucera;Arnaud Clement;SVK;FRA;7-6(3) 4-6 6-3;R64;M
2003;Madrid Masters;Hard;Juan Ignacio Chela;Alberto Martin;ARG;ESP;6-4 1-6 6-1;R64;M
2003;Madrid Masters;Hard;Nicolas Massu;Fernando Verdasco;CHI;ESP;7-6(2) 6-4;R64;M
2003;Madrid Masters;Hard;Max Mirnyi;James Blake;BLR;USA;7-5 6-2;R64;M
2003;Madrid Masters;Hard;Juan Carlos Ferrero;Wayne Ferreira;ESP;RSA;6-3 2-6 7-6(4);R32;M
2003;Madrid Masters;Hard;Felix Mantilla;Thomas Enqvist;ESP;SWE;6-2 7-6(3);R32;M
2003;Madrid Masters;Hard;Jan Michael Gambill;Sjeng Schalken;USA;NED;7-6(6) 6-2;R32;M
2003;Madrid Masters;Hard;Paradorn Srichaphan;Albert Costa;THA;ESP;6-3 6-7(5) 6-1;R32;M
2003;Madrid Masters;Hard;Roger Federer;Alex Corretja;SUI;ESP;6-4 6-3;R32;M
2003;Madrid Masters;Hard;Mardy Fish;Tommy Robredo;USA;ESP;7-6(14) 6-2;R32;M
2003;Madrid Masters;Hard;Feliciano Lopez;Mark Philippoussis;ESP;AUS;6-4 3-6 6-3;R32;M
2003;Madrid Masters;Hard;Carlos Moya;Gaston Gaudio;ESP;ARG;3-6 7-5 6-3;R32;M
2003;Madrid Masters;Hard;Sebastien Grosjean;David Ferrer;FRA;ESP;6-4 6-2;R32;M
2003;Madrid Masters;Hard;Vincent Spadea;Agustin Calleri;USA;ARG;7-6(5) 3-6 6-3;R32;M
2003;Madrid Masters;Hard;Younes El Aynaoui;Jonas Bjorkman;MAR;SWE;6-4 6-4;R32;M
