2016;Brisbane;Hard;Mikhail Kukushkin;Denis Istomin;KAZ;UZB;6-2 7-5;R32;A
2016;Brisbane;Hard;Radek Stepanek;Dusan Lajovic;CZE;SRB;6-0 6-3;R32;A
2016;Brisbane;Hard;Bernard Tomic;Nicolas Mahut;AUS;FRA;6-4 6-3;R32;A
2016;Brisbane;Hard;Ivan Dodig;Oliver Anderson;CRO;AUS;6-3 6-2;R32;A
2016;Brisbane;Hard;Lucas Pouille;Yoshihito Nishioka;FRA;JPN;4-6 6-3 7-5;R32;A
2016;Brisbane;Hard;David Goffin;Thomaz Bellucci;BEL;BRA;6-4 6-4;R32;A
2016;Brisbane;Hard;Dominic Thiem;James Duckworth;AUT;AUS;3-6 6-4 6-3;R32;A
2016;Brisbane;Hard;Denis Kudla;John Patrick Smith;USA;AUS;4-6 6-3 6-2;R32;A
2016;Brisbane;Hard;Hyeon Chung;Sam Groth;KOR;AUS;7-6(8) 6-4;R32;A
2016;Brisbane;Hard;Grigor Dimitrov;Gilles Simon;BUL;FRA;6-3 7-6(10);R32;A
2016;Brisbane;Hard;Viktor Troicki;Steve Johnson;SRB;USA;7-6(3) 6-1;R32;A
2016;Brisbane;Hard;Tobias Kamke;Benjamin Mitchell;GER;AUS;6-2 6-4;R32;A
2016;Brisbane;Hard;Kei Nishikori;Mikhail Kukushkin;JPN;KAZ;6-3 6-4;R16;A
2016;Brisbane;Hard;Bernard Tomic;Radek Stepanek;AUS;CZE;7-6(6) 4-6 7-6(4);R16;A
2016;Brisbane;Hard;Milos Raonic;Ivan Dodig;CAN;CRO;6-7(2) 6-1 6-4;R16;A
2016;Brisbane;Hard;Lucas Pouille;David Goffin;FRA;BEL;7-6(5) 4-6 6-3;R16;A
2016;Brisbane;Hard;Dominic Thiem;Denis Kudla;AUT;USA;6-3 6-2;R16;A
2016;Brisbane;Hard;Marin Cilic;Hyeon Chung;CRO;KOR;7-5 7-6(3);R16;A
2016;Brisbane;Hard;Grigor Dimitrov;Viktor Troicki;BUL;SRB;5-7 7-6(6) 6-2;R16;A
2016;Brisbane;Hard;Roger Federer;Tobias Kamke;SUI;GER;6-2 6-1;R16;A
2016;Brisbane;Hard;Bernard Tomic;Kei Nishikori;AUS;JPN;6-3 1-6 6-3;QF;A
2016;Brisbane;Hard;Milos Raonic;Lucas Pouille;CAN;FRA;6-4 6-4;QF;A
2016;Brisbane;Hard;Dominic Thiem;Marin Cilic;AUT;CRO;2-6 7-6(4) 6-4;QF;A
2016;Brisbane;Hard;Roger Federer;Grigor Dimitrov;SUI;BUL;6-4 6-7(4) 6-4;QF;A
2016;Brisbane;Hard;Milos Raonic;Bernard Tomic;CAN;AUS;7-6(5) 7-6(5);SF;A
2016;Brisbane;Hard;Roger Federer;Dominic Thiem;SUI;AUT;6-1 6-4;SF;A
2016;Brisbane;Hard;Milos Raonic;Roger Federer;CAN;SUI;6-4 6-4;F;A
2016;Chennai;Hard;Ramkumar Ramanathan;Daniel Gimeno Traver;IND;ESP;6-2 6-0;R32;A
2016;Chennai;Hard;Luca Vanni;Jan Lennard Struff;ITA;GER;6-4 7-6(5);R32;A
2016;Chennai;Hard;Aljaz Bedene;Vasek Pospisil;SLO;CAN;7-5 7-6(6);R32;A
2016;Chennai;Hard;John Millman;Evgeny Donskoy;AUS;RUS;6-7(5) 6-4 7-6(6);R32;A
2016;Chennai;Hard;Austin Krajicek;Rajeev Ram;USA;USA;6-7(0) 6-4 6-4;R32;A
2016;Chennai;Hard;Borna Coric;Marcel Granollers;CRO;ESP;7-6(5) 2-6 6-4;R32;A
2016;Chennai;Hard;Gilles Muller;Karen Khachanov;LUX;RUS;6-7(3) 7-6(4) 6-2;R32;A
2016;Chennai;Hard;Thomas Fabbiano;Jozef Kovalik;ITA;SVK;1-6 6-3 6-4;R32;A
2016;Chennai;Hard;Lukas Rosol;Santiago Giraldo;CZE;COL;6-3 6-4;R32;A
2016;Chennai;Hard;Guillermo Garcia Lopez;Taro Daniel;ESP;JPN;4-6 7-5 6-2;R32;A
2016;Chennai;Hard;Ante Pavic;Nicolas Almagro;CRO;ESP;3-6 7-5 7-6(1);R32;A
2016;Chennai;Hard;Andrey Rublev;Somdev Devvarman;RUS;IND;6-3 3-6 6-3;R32;A
2016;Chennai;Hard;Ramkumar Ramanathan;Alexander Kudryavtsev;IND;RUS;3-6 6-4 6-4;R16;A
2016;Chennai;Hard;Aljaz Bedene;Luca Vanni;SLO;ITA;5-7 6-3 6-4;R16;A
2016;Chennai;Hard;Roberto Bautista Agut;John Millman;ESP;AUS;6-4 6-1;R16;A
2016;Chennai;Hard;Borna Coric;Austin Krajicek;CRO;USA;6-2 7-5;R16;A
2016;Chennai;Hard;Thomas Fabbiano;Gilles Muller;ITA;LUX;6-4 7-5;R16;A
2016;Chennai;Hard;Benoit Paire;Lukas Rosol;FRA;CZE;7-5 7-5;R16;A
2016;Chennai;Hard;Guillermo Garcia Lopez;Ante Pavic;ESP;CRO;7-6(5) 6-1;R16;A
2016;Chennai;Hard;Stan Wawrinka;Andrey Rublev;SUI;RUS;6-3 6-2;R16;A
2016;Chennai;Hard;Aljaz Bedene;Ramkumar Ramanathan;SLO;IND;6-7(5) 6-4 6-3;QF;A
2016;Chennai;Hard;Borna Coric;Roberto Bautista Agut;CRO;ESP;3-6 6-4 7-6(1);QF;A
2016;Chennai;Hard;Benoit Paire;Thomas Fabbiano;FRA;ITA;6-4 7-5;QF;A
2016;Chennai;Hard;Stan Wawrinka;Guillermo Garcia Lopez;SUI;ESP;6-4 6-4;QF;A
2016;Chennai;Hard;Borna Coric;Aljaz Bedene;CRO;SLO;7-6(5) 6-7(5) 6-3;SF;A
2016;Chennai;Hard;Stan Wawrinka;Benoit Paire;SUI;FRA;6-3 6-4;SF;A
2016;Chennai;Hard;Stan Wawrinka;Borna Coric;SUI;CRO;6-3 7-5;F;A
